Name,Description,Website,Theme,Focus-Area,Opportunity-Space,Founded,Headcount,Country,Location,Funded,Funding-Date,Funding-Stage,Total-Funding-(USD),Maturity,Inc.-Compass,Hero,INGKA-Relationship
Locus Robotics,"Provider of warehouse fulfillment and automation solutions using robots. Its features include business intelligence, multiple languages, accessory ports, and gamification. The robots still need a human to pick the products from the shelf and check for defects, but significantly reduce the physical walking effort in the warehouse. It caters to the healthcare, manufacturing, and retail industries.",https://locusrobotics.com,Transport & Logistics ,Logistics,Other,2014,0,United States,Wilmington,Yes,"Tuesday, 14 September 2021",Series E,321.448.492,Not Complete,FALSE,FALSE,FALSE
Fox Robotics,"Manufacturer of palletizing robots for warehouse automation. The company provides an automated forklift that can load & unload pallets from trailers to receiving docks. The robots through deep learning systems use onboard cameras and LIDAR sensors to detect pallets, boxes, and obstacles in real-time and pick and place pallets in trailers. The unloader provides navigation in warehouses and trailers with precise position and speed control.",https://foxrobotics.com,Transport & Logistics ,Logistics,Other,2018,0,United States,Austin,Yes,"Friday, 4 March 2022",Series A,14.226.342,Not Complete,TRUE,FALSE,FALSE
inVia Robotics,"inVia Robotics provides a robotic platform for warehouse material handling. The robots can be used to pick and move objects around the warehouse controlled from a centralized location. The robot has over 6 feet of vertical reach and thus, allows dense warehouse shelving. The company claims that the robot can work for 10 hours on a single charge.",https://inviarobotics.com,Transport & Logistics ,Logistics,Other,2015,0,United States,Los Angeles,Yes,"Tuesday, 27 July 2021",Series C,59.000.000,Not Complete,FALSE,FALSE,FALSE
CognitOps,"CognitOps offers an AI & cloud-enabled automated warehouse management solution. The solution analyzes data from WMS, WCS, and WES to offer analytics and related solutions. The platform offers supply chain visibility, supply chain insights to drive decisions, simulate operational changes, receive optimal facility designs based on requirements, and benchmark metrics.",https://cognitops.com,Transport & Logistics ,Logistics,Other,2018,0,United States,Austin,Yes,"Thursday, 6 May 2021",Series A,17.505.000,Not Complete,TRUE,FALSE,FALSE
Prime Robotics,"Designs and develops AI-enabled robotic solutions for warehouse automation. The company has developed Autonomous Mobile Robots (AMR) and Automated Guided Vehicles (AGVs) and also offers its corresponding control software. The robots have features such as obstacle avoidance, robotic arms for picking (based on pick-to-light and put-to-light methodologies), and self-charging capabilities. Additionally, the company also offers an automated picking station.",https://primerobotics.com,Transport & Logistics ,Logistics,Other,2016,0,United States,Denver,Yes,"Thursday, 24 February 2022",Seed,1.999.997,Not Complete,FALSE,FALSE,FALSE
Inossem,"Inossem provides AI & web-based supply chain management solutions and services. Product offerings include InStock- an integrated warehouse & inventory management solution, InoVat - an AI-enabled inventory optimization solution, InData - AI-enabled analytics & data management solution, ProcessGO - a document management & process automation solution (to automated financial, supply chain, IT & HR processes), and more.",https://inossem.com,Transport & Logistics ,Logistics,Other,2015,0,China,Beijing,Yes,"Sunday, 12 December 2021",Series C,0,Not Complete,TRUE,FALSE,FALSE
ELI WMS,"ELI WMS is an AI & SaaS-based Warehouse Management System. The hardware-agnostic solution enables users to manage/monitor inventory & warehouses in real-time. The solution also features/enables drone-based inventory management, AI-enabled space allocation, RFID-based data acquisition, and more.",https://eliwms.com,Transport & Logistics ,Logistics,Other,2017,0,Italy,Brescia,Yes,"Sunday, 20 December 2020",Seed,367.539,Not Complete,TRUE,FALSE,FALSE
Nuro,"Provider of AI-enabled autonomous delivery vehicles for logistics deliveries. The company develops and operates a fleet of electric and fully autonomous vehicles that are built to deliver local goods from pizza to prescriptions. It features 360° cameras, Lidar, short-range radar, long-range radar, and ultrasonic sensors.",https://www.nuro.ai,Transport & Logistics ,Logistics,Other,2016,644,United States,Menlo Park,Yes,"Tuesday, 2 November 2021",Series D,2.132.000.000,Not Complete,FALSE,FALSE,FALSE
Zypp Electric,"Provider of SaaS-driven last-mile delivery solution using electric delivery vehicles. The e-scooters are IOT powered that can be GPS tracked & locked/unlocked by scanning QR codes using the mobile application. Its services include E-scooters for pick & drop, hyper-local, last-mile delivery, and more. It also helps to deliver daily essentials, such as vegetables, medicines, dairy, groceries, and more. The company offers mobile applications for Android & iOS platforms.",https://zypp.app,Transport & Logistics ,Logistics,"Offering convenient local fulfilment, delivery, and collection",2017,170,India,Gurgaon,Yes,"Monday, 25 April 2022",Series A,12.500.000,Not Complete,TRUE,FALSE,FALSE
Fabric,"Provider of AI-based solutions for managing logistics micro-fulfillment operations. It develops automated infrastructure micro-fulfillment centers that enable retailers to build a custom solution based on their inventory level, delivery, and Opex/Capex requirements",https://getfabric.com,Transport & Logistics ,Logistics,"Offering convenient local fulfilment, delivery, and collection",2015,0,Israel,Tel Aviv,Yes,"Tuesday, 26 October 2021",Series C,336.000.000,Not Complete,TRUE,TRUE,FALSE
