Name,Description,Website,Theme,Focus-Area,Opportunity-Space,Founded,Headcount,Country,Location,Funding-Date,Funding-Stage,Total-Funding,Maturity,Inc.-Compass,Hero
"Feather","Rentfeather is an online furniture rental platform. The company offers various furniture packages that include bedroom, living room, and studio apartment packages. Also offers furniture for dining room, bedroom, living room, and home office. Users can take a style quiz on company's platform to know the kind of furniture to rent and they can also buy the rented furniture. Few of the brands associated with the company are west elm, JOYBIRD, Tuft&Needle, and Casper.","https://livefeather.com","undefined","Furnishings & Appliances​","(1) New services for a new age","2017","0","United States","Brooklyn","Monday, 3 August 2020","Series B","76.000.000","Result","1","0"
"Front","Team-based approach to email. Combines a company's social media, email, texts, and other messages into a shared inbox to which the entire team has access","https://frontapp.com/","undefined","","","","","","","","","$138.8","Not Complete","0","0"
"Mattermost","Enterprise-grade messaging solutions: secure, configurable, highly-scalable messaging across web, phone and PC with archiving, search etc.","https://mattermost.com/","undefined","","","","","","","","","$70.0","Not Complete","0","0"
"Flock","Real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity","https://flock.com/uk/","undefined","","","","","","","","","$45.0","Not Complete","0","0"
"Superhuman","The "fastest email experience ever made," with keyboard shortcuts, additional features, and reminders to help you reach inbox zero in less time","https://superhuman.com/","undefined","","","","","","","","","$33.0","Not Complete","0","0"
"Quill","Messaging software built for productivity, not engagement","https://quill.chat/","undefined","","","","","","","","","$14.5","Not Complete","0","0"
"Threads","Makes work more inclusive by empowering teams to discuss and make decisions at scale","https://threads.com/","undefined","","","","","","","","","$10.5","Not Complete","0","0"
"Spike","Converts existing emails into a multimedia mobile messaging format","https://www.spikenow.com/","undefined","","","","","","","","","$7.3","Not Complete","0","0"
"nuffsaid","A workflow intelligence platform that centralizes the world’s work apps and focuses people on the work that matters","https://www.nuffsaid.com/","undefined","","","","","","","","","$4.3","Not Complete","0","0"
"Involve","A communication "Operative System" for your distributed / dispersed workforce; SaaS for improving org alignment for companies with mobile workers","https://www.involvesoft.com/","undefined","","","","","","","","","$2.5","Not Complete","0","0"
"Yac","Voice Collaboration SaaS for Remote Teams; very interesting as - similarly to Loom - it's a great platform enabling asynchronous communication (vs. real time)","https://www.yac.com/","undefined","","","","","","","","","$1.5","Not Complete","0","0"
"Polymail","Email platform for teams, combining email with real time collaboration and integrating it with your team's other tools","https://polymail.io/","undefined","","","","","","","","","$0.8","Not Complete","0","0"
"Workvivo","Similar to Compose: the place where all the tools your employees love to use everyday come together in a unified digital platform.","https://www.workvivo.com/","undefined","","","","","","","","","$0.6","Not Complete","0","0"
"Blink","Making remote working less remote through an all-in-one app that gives every employee a sense of community","https://joinblink.com/","undefined","","","","","","","","","$0.6","Not Complete","0","0"
"Doist (Twist)","Through its product Twist, Doist offers a communication app for teams who want a calmer, more organized, more productive workplace","https://doist.com/","undefined","","","","","","","","","$0.6","Not Complete","0","0"
"/talk","An anti-meeting tool that decentralizes conversations so teams can move faster in an exciting new way","https://slashtalk.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
